country,quarter,mean_stance,n_speeches,anti_share,wait_share,pro_share
Albania,2020Q4,1.0,1,0.0,0.0,1.0
Albania,2021Q4,0.0,1,0.0,1.0,0.0
Australia,2017Q4,0.0,1,0.0,1.0,0.0
Australia,2018Q4,0.0,1,0.0,1.0,0.0
Australia,2020Q2,0.0,1,0.0,1.0,0.0
Australia,2021Q1,0.0,1,0.0,1.0,0.0
Australia,2021Q3,1.0,1,0.0,0.0,1.0
Australia,2021Q4,0.0,1,0.0,1.0,0.0
Australia,2022Q4,1.0,1,0.0,0.0,1.0
Australia,2023Q2,0.0,1,0.0,1.0,0.0
Australia,2023Q4,1.0,2,0.0,0.0,1.0
Australia,2024Q3,0.5,2,0.0,0.5,0.5
Australia,2024Q4,1.0,2,0.0,0.0,1.0
Bahamas,2018Q3,1.0,1,0.0,0.0,1.0
Bahamas,2019Q1,1.0,1,0.0,0.0,1.0
Bahamas,2019Q4,1.0,1,0.0,0.0,1.0
Bahamas,2020Q1,1.0,1,0.0,0.0,1.0
Barbados,2017Q4,1.0,1,0.0,0.0,1.0
Barbados,2022Q3,1.0,1,0.0,0.0,1.0
Belgium,2018Q3,0.0,1,0.0,1.0,0.0
Belgium,2018Q4,0.0,1,0.0,1.0,0.0
Bosnia and Herzegovina,2018Q4,1.0,1,0.0,0.0,1.0
Botswana,2017Q4,-1.0,1,1.0,0.0,0.0
Canada,2016Q2,0.0,1,0.0,1.0,0.0
Canada,2017Q4,0.0,1,0.0,1.0,0.0
Canada,2018Q1,0.0,1,0.0,1.0,0.0
Canada,2018Q4,0.0,1,0.0,1.0,0.0
Canada,2020Q1,0.0,1,0.0,1.0,0.0
Canada,2020Q2,0.0,1,0.0,1.0,0.0
Canada,2020Q4,1.0,1,0.0,0.0,1.0
Canada,2021Q1,0.0,1,0.0,1.0,0.0
Canada,2021Q2,1.0,1,0.0,0.0,1.0
Canada,2024Q3,0.0,1,0.0,1.0,0.0
Chile,2017Q2,1.0,1,0.0,0.0,1.0
Chile,2019Q3,0.0,1,0.0,1.0,0.0
China,2021Q3,0.0,1,0.0,1.0,0.0
China,2021Q4,1.0,1,0.0,0.0,1.0
China,2022Q4,1.0,1,0.0,0.0,1.0
Croatia,2023Q1,1.0,1,0.0,0.0,1.0
Croatia,2023Q2,0.0,1,0.0,1.0,0.0
Curacao and Sint Maarten,2018Q2,1.0,1,0.0,0.0,1.0
Curacao and Sint Maarten,2019Q2,0.0,1,0.0,1.0,0.0
Curacao and Sint Maarten,2022Q2,1.0,1,0.0,0.0,1.0
Cyprus,2023Q4,1.0,2,0.0,0.0,1.0
Czech Republic,2017Q3,0.0,1,0.0,1.0,0.0
Czech Republic,2018Q1,0.0,1,0.0,1.0,0.0
Denmark,2017Q4,-0.3333333333333333,3,0.3333333333333333,0.6666666666666666,0.0
Denmark,2021Q2,0.0,1,0.0,1.0,0.0
Denmark,2022Q2,0.0,1,0.0,1.0,0.0
Denmark,2023Q1,0.0,1,0.0,1.0,0.0
Denmark,2024Q1,0.0,1,0.0,1.0,0.0
Eswatini,2024Q2,1.0,1,0.0,0.0,1.0
Euro Area,2016Q2,0.0,1,0.0,1.0,0.0
Euro Area,2016Q4,0.0,1,0.0,1.0,0.0
Euro Area,2017Q1,0.0,1,0.0,1.0,0.0
Euro Area,2017Q3,0.5,2,0.0,0.5,0.5
Euro Area,2017Q4,0.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
Euro Area,2018Q1,-0.3333333333333333,3,0.3333333333333333,0.6666666666666666,0.0
Euro Area,2018Q2,0.0,3,0.0,1.0,0.0
Euro Area,2018Q4,0.0,2,0.0,1.0,0.0
Euro Area,2019Q1,-1.0,1,1.0,0.0,0.0
Euro Area,2019Q3,0.5,2,0.0,0.5,0.5
Euro Area,2019Q4,0.16666666666666666,6,0.0,0.8333333333333334,0.16666666666666666
Euro Area,2020Q1,0.0,3,0.0,1.0,0.0
Euro Area,2020Q2,0.0,1,0.0,1.0,0.0
Euro Area,2020Q3,0.5,2,0.0,0.5,0.5
Euro Area,2020Q4,0.14285714285714285,7,0.0,0.8571428571428571,0.14285714285714285
Euro Area,2021Q1,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Euro Area,2021Q2,1.0,4,0.0,0.0,1.0
Euro Area,2021Q4,0.0,1,0.0,1.0,0.0
Euro Area,2022Q1,0.5,2,0.0,0.5,0.5
Euro Area,2022Q2,0.6,5,0.0,0.4,0.6
Euro Area,2022Q3,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Euro Area,2022Q4,0.75,4,0.0,0.25,0.75
Euro Area,2023Q1,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Euro Area,2023Q2,1.0,4,0.0,0.0,1.0
Euro Area,2023Q3,1.0,1,0.0,0.0,1.0
Euro Area,2024Q1,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Euro Area,2024Q2,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Euro Area,2024Q3,1.0,1,0.0,0.0,1.0
Euro Area,2024Q4,1.0,1,0.0,0.0,1.0
Finland,2016Q2,1.0,1,0.0,0.0,1.0
Finland,2021Q3,1.0,1,0.0,0.0,1.0
Finland,2021Q4,0.0,1,0.0,1.0,0.0
Finland,2022Q3,1.0,1,0.0,0.0,1.0
Finland,2023Q3,1.0,1,0.0,0.0,1.0
France,2018Q1,0.0,1,0.0,1.0,0.0
France,2018Q4,0.0,1,0.0,1.0,0.0
France,2019Q3,1.0,1,0.0,0.0,1.0
France,2019Q4,0.75,4,0.0,0.25,0.75
France,2020Q1,1.0,2,0.0,0.0,1.0
France,2020Q3,1.0,1,0.0,0.0,1.0
France,2020Q4,0.5714285714285714,7,0.0,0.42857142857142855,0.5714285714285714
France,2021Q2,1.0,2,0.0,0.0,1.0
France,2021Q3,0.5,2,0.0,0.5,0.5
France,2021Q4,1.0,5,0.0,0.0,1.0
France,2022Q1,0.8,5,0.0,0.2,0.8
France,2022Q2,0.6,5,0.0,0.4,0.6
France,2022Q3,1.0,4,0.0,0.0,1.0
France,2022Q4,0.75,4,0.0,0.25,0.75
France,2023Q1,0.6666666666666666,3,0.0,0.3333333333333333,0.6666666666666666
France,2023Q2,1.0,4,0.0,0.0,1.0
France,2023Q3,1.0,1,0.0,0.0,1.0
France,2024Q1,0.0,1,0.0,1.0,0.0
France,2024Q2,0.6,5,0.0,0.4,0.6
France,2024Q3,1.0,2,0.0,0.0,1.0
France,2024Q4,1.0,3,0.0,0.0,1.0
Germany,2016Q2,0.0,1,0.0,1.0,0.0
Germany,2017Q1,0.0,1,0.0,1.0,0.0
Germany,2017Q2,1.0,1,0.0,0.0,1.0
Germany,2017Q3,0.0,1,0.0,1.0,0.0
Germany,2018Q1,1.0,1,0.0,0.0,1.0
Germany,2019Q3,0.0,1,0.0,1.0,0.0
Germany,2019Q4,-0.5,2,0.5,0.5,0.0
Germany,2020Q3,0.0,2,0.0,1.0,0.0
Germany,2020Q4,0.0,4,0.0,1.0,0.0
Germany,2021Q1,0.5,2,0.0,0.5,0.5
Germany,2021Q2,0.0,3,0.0,1.0,0.0
Germany,2021Q3,0.5,2,0.0,0.5,0.5
Germany,2021Q4,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
Germany,2022Q1,0.75,4,0.0,0.25,0.75
Germany,2022Q2,1.0,4,0.0,0.0,1.0
Germany,2022Q3,1.0,3,0.0,0.0,1.0
Germany,2022Q4,0.6666666666666666,3,0.0,0.3333333333333333,0.6666666666666666
Germany,2023Q1,1.0,1,0.0,0.0,1.0
Germany,2023Q2,1.0,4,0.0,0.0,1.0
Germany,2023Q3,1.0,1,0.0,0.0,1.0
Germany,2023Q4,1.0,2,0.0,0.0,1.0
Germany,2024Q1,1.0,2,0.0,0.0,1.0
Germany,2024Q2,0.8,5,0.0,0.2,0.8
Germany,2024Q3,0.0,1,0.0,1.0,0.0
Germany,2024Q4,1.0,2,0.0,0.0,1.0
Greece,2018Q2,1.0,1,0.0,0.0,1.0
Greece,2020Q4,0.0,1,0.0,1.0,0.0
Greece,2022Q2,1.0,1,0.0,0.0,1.0
Greece,2022Q4,1.0,1,0.0,0.0,1.0
Hong Kong,2018Q3,0.0,1,0.0,1.0,0.0
Hong Kong,2019Q4,1.0,1,0.0,0.0,1.0
Hong Kong,2020Q4,1.0,1,0.0,0.0,1.0
Hong Kong,2021Q1,1.0,2,0.0,0.0,1.0
Hong Kong,2021Q2,1.0,1,0.0,0.0,1.0
Hong Kong,2021Q4,1.0,1,0.0,0.0,1.0
Hong Kong,2022Q1,1.0,1,0.0,0.0,1.0
Hong Kong,2022Q4,1.0,1,0.0,0.0,1.0
Hong Kong,2023Q2,1.0,1,0.0,0.0,1.0
Hong Kong,2023Q3,0.75,4,0.0,0.25,0.75
Hong Kong,2023Q4,1.0,2,0.0,0.0,1.0
Hong Kong,2024Q1,1.0,1,0.0,0.0,1.0
Hong Kong,2024Q2,1.0,2,0.0,0.0,1.0
Hong Kong,2024Q3,1.0,3,0.0,0.0,1.0
Hong Kong,2024Q4,1.0,4,0.0,0.0,1.0
Iceland,2018Q2,0.0,1,0.0,1.0,0.0
India,2021Q1,0.0,1,0.0,1.0,0.0
India,2021Q3,1.0,2,0.0,0.0,1.0
India,2022Q2,1.0,1,0.0,0.0,1.0
India,2022Q3,1.0,1,0.0,0.0,1.0
India,2022Q4,1.0,2,0.0,0.0,1.0
India,2023Q1,1.0,2,0.0,0.0,1.0
India,2023Q2,1.0,1,0.0,0.0,1.0
India,2023Q3,1.0,4,0.0,0.0,1.0
India,2023Q4,1.0,2,0.0,0.0,1.0
India,2024Q1,1.0,3,0.0,0.0,1.0
India,2024Q2,0.5,2,0.0,0.5,0.5
India,2024Q3,0.6666666666666666,3,0.0,0.3333333333333333,0.6666666666666666
India,2024Q4,0.5,4,0.0,0.5,0.5
Ireland,2016Q2,0.0,1,0.0,1.0,0.0
Ireland,2017Q1,0.0,1,0.0,1.0,0.0
Ireland,2019Q4,1.0,1,0.0,0.0,1.0
Ireland,2020Q3,1.0,1,0.0,0.0,1.0
Ireland,2021Q1,0.5,2,0.0,0.5,0.5
Ireland,2021Q2,0.5,2,0.0,0.5,0.5
Ireland,2021Q3,1.0,1,0.0,0.0,1.0
Ireland,2022Q1,0.0,1,0.0,1.0,0.0
Ireland,2022Q2,1.0,1,0.0,0.0,1.0
Ireland,2024Q1,0.0,1,0.0,1.0,0.0
Ireland,2024Q3,-1.0,1,1.0,0.0,0.0
Ireland,2024Q4,1.0,2,0.0,0.0,1.0
Israel,2022Q2,1.0,1,0.0,0.0,1.0
Israel,2022Q4,1.0,1,0.0,0.0,1.0
Italy,2018Q2,0.0,1,0.0,1.0,0.0
Italy,2020Q4,0.5,4,0.0,0.5,0.5
Italy,2021Q2,0.0,2,0.0,1.0,0.0
Italy,2021Q3,1.0,2,0.0,0.0,1.0
Italy,2021Q4,1.0,1,0.0,0.0,1.0
Italy,2022Q1,0.0,1,0.0,1.0,0.0
Italy,2022Q3,1.0,1,0.0,0.0,1.0
Italy,2022Q4,0.5,2,0.0,0.5,0.5
Italy,2023Q1,1.0,1,0.0,0.0,1.0
Italy,2023Q2,1.0,2,0.0,0.0,1.0
Italy,2023Q3,1.0,2,0.0,0.0,1.0
Italy,2023Q4,0.6666666666666666,3,0.0,0.3333333333333333,0.6666666666666666
Italy,2024Q1,1.0,2,0.0,0.0,1.0
Italy,2024Q2,1.0,2,0.0,0.0,1.0
Italy,2024Q3,1.0,1,0.0,0.0,1.0
Japan,2016Q2,1.0,1,0.0,0.0,1.0
Japan,2016Q4,1.0,1,0.0,0.0,1.0
Japan,2017Q2,1.0,1,0.0,0.0,1.0
Japan,2018Q2,0.0,2,0.0,1.0,0.0
Japan,2018Q4,0.0,2,0.0,1.0,0.0
Japan,2019Q3,0.0,1,0.0,1.0,0.0
Japan,2019Q4,0.0,1,0.0,1.0,0.0
Japan,2020Q1,0.0,1,0.0,1.0,0.0
Japan,2020Q3,0.0,1,0.0,1.0,0.0
Japan,2020Q4,1.0,1,0.0,0.0,1.0
Japan,2021Q1,0.0,1,0.0,1.0,0.0
Japan,2022Q1,0.0,1,0.0,1.0,0.0
Japan,2022Q2,0.0,1,0.0,1.0,0.0
Japan,2023Q1,0.5,2,0.0,0.5,0.5
Japan,2024Q1,1.0,2,0.0,0.0,1.0
Kenya,2021Q3,0.0,1,0.0,1.0,0.0
Korea,2017Q1,0.0,1,0.0,1.0,0.0
Korea,2018Q1,0.0,1,0.0,1.0,0.0
Korea,2020Q1,0.0,1,0.0,1.0,0.0
Korea,2020Q2,1.0,1,0.0,0.0,1.0
Korea,2021Q1,1.0,1,0.0,0.0,1.0
Korea,2022Q1,1.0,1,0.0,0.0,1.0
Korea,2022Q2,0.5,2,0.0,0.5,0.5
Korea,2022Q3,0.5,2,0.0,0.5,0.5
Korea,2024Q2,1.0,1,0.0,0.0,1.0
Kuwait,2018Q4,1.0,1,0.0,0.0,1.0
Lithuania,2018Q2,0.0,1,0.0,1.0,0.0
Lithuania,2019Q2,0.0,1,0.0,1.0,0.0
Lithuania,2022Q3,1.0,1,0.0,0.0,1.0
Malaysia,2017Q2,0.0,1,0.0,1.0,0.0
Malaysia,2018Q1,0.0,1,0.0,1.0,0.0
Malaysia,2020Q3,1.0,1,0.0,0.0,1.0
Malaysia,2023Q4,1.0,1,0.0,0.0,1.0
Malaysia,2024Q2,1.0,1,0.0,0.0,1.0
Malaysia,2024Q3,1.0,1,0.0,0.0,1.0
Mauritius,2017Q4,1.0,1,0.0,0.0,1.0
Mauritius,2018Q3,1.0,1,0.0,0.0,1.0
Mauritius,2019Q1,0.0,1,0.0,1.0,0.0
Mauritius,2019Q4,1.0,1,0.0,0.0,1.0
Mauritius,2021Q2,1.0,1,0.0,0.0,1.0
Mauritius,2022Q3,1.0,1,0.0,0.0,1.0
Mauritius,2023Q2,1.0,2,0.0,0.0,1.0
Mexico,2019Q3,-1.0,1,1.0,0.0,0.0
Mexico,2021Q1,1.0,1,0.0,0.0,1.0
Mexico,2021Q3,1.0,2,0.0,0.0,1.0
Mexico,2021Q4,1.0,1,0.0,0.0,1.0
Mexico,2022Q3,0.0,1,0.0,1.0,0.0
Morocco,2019Q1,1.0,1,0.0,0.0,1.0
Nepal,2024Q1,1.0,1,0.0,0.0,1.0
Netherlands,2020Q4,0.0,1,0.0,1.0,0.0
Netherlands,2021Q4,1.0,1,0.0,0.0,1.0
Netherlands,2022Q1,0.0,1,0.0,1.0,0.0
Netherlands,2024Q2,1.0,1,0.0,0.0,1.0
New Zealand,2018Q2,0.0,1,0.0,1.0,0.0
New Zealand,2018Q3,1.0,1,0.0,0.0,1.0
New Zealand,2019Q1,0.0,1,0.0,1.0,0.0
New Zealand,2020Q3,-1.0,1,1.0,0.0,0.0
New Zealand,2020Q4,0.0,1,0.0,1.0,0.0
New Zealand,2021Q4,0.0,1,0.0,1.0,0.0
New Zealand,2022Q1,0.0,1,0.0,1.0,0.0
New Zealand,2022Q4,0.0,1,0.0,1.0,0.0
New Zealand,2023Q1,1.0,1,0.0,0.0,1.0
New Zealand,2024Q1,1.0,1,0.0,0.0,1.0
New Zealand,2024Q3,1.0,1,0.0,0.0,1.0
New Zealand,2024Q4,1.0,1,0.0,0.0,1.0
Nigeria,2021Q4,1.0,1,0.0,0.0,1.0
North Macedonia,2017Q3,1.0,1,0.0,0.0,1.0
North Macedonia,2018Q2,1.0,1,0.0,0.0,1.0
North Macedonia,2021Q4,1.0,1,0.0,0.0,1.0
Norway,2018Q4,0.0,1,0.0,1.0,0.0
Norway,2019Q1,0.0,1,0.0,1.0,0.0
Norway,2019Q4,0.0,1,0.0,1.0,0.0
Norway,2020Q4,0.0,1,0.0,1.0,0.0
Norway,2021Q2,1.0,1,0.0,0.0,1.0
Pakistan,2017Q4,0.0,1,0.0,1.0,0.0
Pakistan,2022Q4,1.0,1,0.0,0.0,1.0
Philippines,2018Q1,0.5,2,0.0,0.5,0.5
Philippines,2018Q2,0.0,1,0.0,1.0,0.0
Philippines,2018Q3,0.5,2,0.0,0.5,0.5
Philippines,2019Q1,0.0,1,0.0,1.0,0.0
Philippines,2020Q3,0.0,1,0.0,1.0,0.0
Philippines,2022Q1,1.0,1,0.0,0.0,1.0
Philippines,2023Q1,1.0,1,0.0,0.0,1.0
Philippines,2024Q2,1.0,1,0.0,0.0,1.0
Philippines,2024Q3,0.0,1,0.0,1.0,0.0
Portugal,2021Q2,1.0,1,0.0,0.0,1.0
Portugal,2021Q3,1.0,1,0.0,0.0,1.0
Portugal,2021Q4,1.0,1,0.0,0.0,1.0
Russia,2020Q4,0.5,2,0.0,0.5,0.5
Russia,2021Q1,0.0,1,0.0,1.0,0.0
Russia,2021Q3,1.0,1,0.0,0.0,1.0
Serbia,2021Q4,0.0,1,0.0,1.0,0.0
Serbia,2022Q4,0.0,1,0.0,1.0,0.0
Serbia,2023Q2,0.0,1,0.0,1.0,0.0
Singapore,2016Q4,1.0,1,0.0,0.0,1.0
Singapore,2017Q4,1.0,1,0.0,0.0,1.0
Singapore,2018Q2,0.0,1,0.0,1.0,0.0
Singapore,2018Q4,0.0,2,0.0,1.0,0.0
Singapore,2019Q3,1.0,1,0.0,0.0,1.0
Singapore,2021Q1,1.0,1,0.0,0.0,1.0
Singapore,2021Q2,1.0,1,0.0,0.0,1.0
Singapore,2021Q4,1.0,1,0.0,0.0,1.0
Singapore,2022Q2,0.0,1,0.0,1.0,0.0
Singapore,2022Q3,1.0,1,0.0,0.0,1.0
Singapore,2022Q4,1.0,2,0.0,0.0,1.0
Singapore,2023Q3,1.0,1,0.0,0.0,1.0
Singapore,2024Q4,1.0,1,0.0,0.0,1.0
Slovenia,2023Q4,1.0,1,0.0,0.0,1.0
South Africa,2017Q3,0.0,1,0.0,1.0,0.0
South Africa,2018Q3,1.0,1,0.0,0.0,1.0
South Africa,2018Q4,0.0,1,0.0,1.0,0.0
South Africa,2022Q2,1.0,1,0.0,0.0,1.0
South Africa,2022Q3,1.0,1,0.0,0.0,1.0
South Africa,2024Q4,-1.0,1,1.0,0.0,0.0
Spain,2017Q4,0.0,1,0.0,1.0,0.0
Spain,2020Q3,0.0,1,0.0,1.0,0.0
Spain,2020Q4,0.0,1,0.0,1.0,0.0
Spain,2021Q2,0.5,2,0.0,0.5,0.5
Spain,2021Q4,1.0,2,0.0,0.0,1.0
Spain,2022Q2,0.0,1,0.0,1.0,0.0
Spain,2022Q3,1.0,1,0.0,0.0,1.0
Spain,2022Q4,1.0,2,0.0,0.0,1.0
Spain,2023Q4,1.0,1,0.0,0.0,1.0
Sweden,2016Q4,0.0,1,0.0,1.0,0.0
Sweden,2018Q4,0.0,1,0.0,1.0,0.0
Sweden,2021Q2,0.0,1,0.0,1.0,0.0
Sweden,2022Q2,1.0,1,0.0,0.0,1.0
Switzerland,2018Q1,0.0,1,0.0,1.0,0.0
Switzerland,2019Q4,1.0,1,0.0,0.0,1.0
Switzerland,2021Q2,0.0,1,0.0,1.0,0.0
Switzerland,2023Q1,0.0,1,0.0,1.0,0.0
Switzerland,2023Q3,0.0,1,0.0,1.0,0.0
Switzerland,2024Q2,1.0,3,0.0,0.0,1.0
Switzerland,2024Q4,1.0,1,0.0,0.0,1.0
Thailand,2018Q2,1.0,1,0.0,0.0,1.0
Thailand,2018Q3,0.0,1,0.0,1.0,0.0
Thailand,2018Q4,1.0,1,0.0,0.0,1.0
Thailand,2019Q1,1.0,1,0.0,0.0,1.0
Thailand,2019Q3,1.0,1,0.0,0.0,1.0
Thailand,2021Q3,1.0,1,0.0,0.0,1.0
Thailand,2022Q1,1.0,1,0.0,0.0,1.0
Thailand,2022Q4,1.0,1,0.0,0.0,1.0
UAE,2018Q4,1.0,1,0.0,0.0,1.0
UK,2016Q1,0.0,1,0.0,1.0,0.0
UK,2016Q2,1.0,1,0.0,0.0,1.0
UK,2016Q3,0.0,1,0.0,1.0,0.0
UK,2017Q1,0.0,1,0.0,1.0,0.0
UK,2017Q4,0.0,1,0.0,1.0,0.0
UK,2018Q1,1.0,1,0.0,0.0,1.0
UK,2020Q1,0.0,1,0.0,1.0,0.0
UK,2020Q2,0.0,1,0.0,1.0,0.0
UK,2020Q3,0.0,1,0.0,1.0,0.0
UK,2020Q4,0.0,2,0.0,1.0,0.0
UK,2021Q1,0.0,1,0.0,1.0,0.0
UK,2021Q2,0.3333333333333333,6,0.0,0.6666666666666666,0.3333333333333333
UK,2021Q3,0.0,1,0.0,1.0,0.0
UK,2022Q1,0.0,1,0.0,1.0,0.0
UK,2022Q2,0.0,2,0.0,1.0,0.0
UK,2022Q4,0.0,1,0.0,1.0,0.0
UK,2023Q1,1.0,2,0.0,0.0,1.0
UK,2023Q2,0.6666666666666666,3,0.0,0.3333333333333333,0.6666666666666666
UK,2023Q3,1.0,2,0.0,0.0,1.0
UK,2023Q4,0.0,1,0.0,1.0,0.0
UK,2024Q2,0.0,2,0.0,1.0,0.0
UK,2024Q4,0.0,1,0.0,1.0,0.0
US,2017Q1,0.0,1,0.0,1.0,0.0
US,2017Q4,-1.0,1,1.0,0.0,0.0
US,2018Q2,-1.0,1,1.0,0.0,0.0
US,2019Q4,0.0,3,0.0,1.0,0.0
US,2020Q1,0.0,2,0.0,1.0,0.0
US,2020Q3,1.0,1,0.0,0.0,1.0
US,2021Q1,1.0,1,0.0,0.0,1.0
US,2021Q2,0.5,2,0.0,0.5,0.5
US,2021Q3,-1.0,1,1.0,0.0,0.0
US,2021Q4,1.0,1,0.0,0.0,1.0
US,2022Q1,0.5,2,0.0,0.5,0.5
US,2022Q2,0.5,2,0.0,0.5,0.5
US,2022Q3,0.5,2,0.0,0.5,0.5
US,2022Q4,0.3333333333333333,3,0.0,0.6666666666666666,0.3333333333333333
US,2023Q1,0.0,1,0.0,1.0,0.0
US,2023Q2,0.0,1,0.0,1.0,0.0
US,2023Q3,0.0,1,0.0,1.0,0.0
US,2023Q4,0.0,3,0.0,1.0,0.0
US,2024Q2,0.0,2,0.0,1.0,0.0
US,2024Q4,0.0,1,0.0,1.0,0.0
